clvmun,municipio, Total, Hombre, Mujer
,,,,
 , Total,"112,336,538","54,855,231","57,481,307"
,,,,
01, Aguascalientes,"1,184,996","576,638","608,358"
,,,,
01001, Aguascalientes,"797,010","386,429","410,581"
,,,,
01002, Asientos,"45,492","22,512","22,980"
,,,,
01003, Calvillo,"54,136","26,250","27,886"
,,,,
01004, Cosío,"15,042","7,326","7,716"
,,,,
01005, Jesús María,"99,590","49,090","50,500"
,,,,
01006, Pabellón de Arteaga,"41,862","20,170","21,692"
,,,,
01007, Rincón de Romos,"49,156","24,067","25,089"
,,,,
01008, San José de Gracia,"8,443","4,043","4,400"
,,,,
01009, Tepezalá,"19,668","9,600","10,068"
,,,,
01010, El Llano,"18,828","9,573","9,255"
,,,,
01011, San Francisco de los Romo,"35,769","17,578","18,191"
,,,,
02, Baja California,"3,155,070","1,591,610","1,563,460"
,,,,
02001, Ensenada,"466,814","235,130","231,684"
,,,,
02002, Mexicali,"936,826","473,203","463,623"
,,,,
02003, Tecate,"101,079","53,323","47,756"
,,,,
02004, Tijuana,"1,559,683","783,653","776,030"
,,,,
02005, Playas de Rosarito,"90,668","46,301","44,367"
,,,,
03, Baja California Sur,"637,026","325,433","311,593"
,,,,
03001, Comondú,"70,816","36,436","34,380"
,,,,
03002, Mulegé,"59,114","30,617","28,497"
,,,,
03003, La Paz,"251,871","126,397","125,474"
,,,,
03008, Los Cabos,"238,487","123,101","115,386"
,,,,
03009, Loreto,"16,738","8,882","7,856"
,,,,
04, Campeche,"822,441","407,721","414,720"
,,,,
04001, Calkiní,"52,890","26,072","26,818"
,,,,
04002, Campeche,"259,005","125,561","133,444"
,,,,
04003, Carmen,"221,094","110,317","110,777"
,,,,
04004, Champotón,"83,021","41,760","41,261"
,,,,
04005, Hecelchakán,"28,306","14,093","14,213"
,,,,
04006, Hopelchén,"37,777","19,306","18,471"
,,,,
04007, Palizada,"8,352","4,230","4,122"
,,,,
04008, Tenabo,"9,736","5,002","4,734"
,,,,
04009, Escárcega,"54,184","26,809","27,375"
,,,,
04010, Calakmul,"26,882","13,647","13,235"
,,,,
04011, Candelaria,"41,194","20,924","20,270"
,,,,
05, Coahuila de Zaragoza,"2,748,391","1,364,197","1,384,194"
,,,,
05001, Abasolo,"1,070",531,539
,,,,
05002, Acuña,"136,755","68,350","68,405"
,,,,
05003, Allende,"22,675","11,114","11,561"
,,,,
05004, Arteaga,"22,544","11,540","11,004"
,,,,
05005, Candela,"1,808",939,869
,,,,
05006, Castaños,"25,892","12,945","12,947"
,,,,
05007, Cuatro Ciénegas,"13,013","6,565","6,448"
,,,,
05008, Escobedo,"2,901","1,475","1,426"
,,,,
05009, Francisco I. Madero,"55,676","27,739","27,937"
,,,,
05010, Frontera,"75,215","37,561","37,654"
,,,,
05011, General Cepeda,"11,682","6,071","5,611"
,,,,
05012, Guerrero,"2,091","1,115",976
,,,,
05013, Hidalgo,"1,852",955,897
,,,,
05014, Jiménez,"9,935","5,041","4,894"
,,,,
05015, Juárez,"1,599",827,772
,,,,
05016, Lamadrid,"1,835",941,894
,,,,
05017, Matamoros,"107,160","53,353","53,807"
,,,,
05018, Monclova,"216,206","107,401","108,805"
,,,,
05019, Morelos,"8,207","4,095","4,112"
,,,,
05020, Múzquiz,"66,834","33,465","33,369"
,,,,
05021, Nadadores,"6,335","3,186","3,149"
,,,,
05022, Nava,"27,928","14,237","13,691"
,,,,
05023, Ocampo,"10,991","5,652","5,339"
,,,,
05024, Parras,"45,401","23,062","22,339"
,,,,
05025, Piedras Negras,"152,806","76,404","76,402"
,,,,
05026, Progreso,"3,473","1,774","1,699"
,,,,
05027, Ramos Arizpe,"75,461","38,302","37,159"
,,,,
05028, Sabinas,"60,847","30,247","30,600"
,,,,
05029, Sacramento,"2,314","1,175","1,139"
,,,,
05030, Saltillo,"725,123","359,366","365,757"
,,,,
05031, San Buenaventura,"22,149","11,044","11,105"
