year,cve_ent,ent,cve_mun,mun,cuentas_pagadas,monto_predial
2013,01,Aguascalientes,001,Aguascalientes,247526,213323432
2014,01,Aguascalientes,001,Aguascalientes,247012,220441379
2015,01,Aguascalientes,001,Aguascalientes,254586,227957826
2016,01,Aguascalientes,001,Aguascalientes,256282,241380939
2017,01,Aguascalientes,001,Aguascalientes,256833,256597826
2018,01,Aguascalientes,001,Aguascalientes,255186,276521202
2019,01,Aguascalientes,001,Aguascalientes,257875,288981532
2020,01,Aguascalientes,001,Aguascalientes,249436,319625629
2021,01,Aguascalientes,001,Aguascalientes,260373,386922324
2022,01,Aguascalientes,001,Aguascalientes,262292,432618650
2013,01,Aguascalientes,002,Asientos,5880,1337855
2014,01,Aguascalientes,002,Asientos,7417,3072426
2015,01,Aguascalientes,002,Asientos,7768,3900042
2016,01,Aguascalientes,002,Asientos,7572,3939930
2017,01,Aguascalientes,002,Asientos,8195,4472130
2018,01,Aguascalientes,002,Asientos,8355,4663137
2019,01,Aguascalientes,002,Asientos,8766,5027259
2020,01,Aguascalientes,002,Asientos,41429,6701945
2021,01,Aguascalientes,002,Asientos,6781,8785322
2022,01,Aguascalientes,002,Asientos,8346,15948369
2013,01,Aguascalientes,003,Calvillo,24080,7381049
2014,01,Aguascalientes,003,Calvillo,22592,8626835
2015,01,Aguascalientes,003,Calvillo,22978,9629006
2016,01,Aguascalientes,003,Calvillo,24099,10276922
2017,01,Aguascalientes,003,Calvillo,24570,11755592
2018,01,Aguascalientes,003,Calvillo,24025,13300078
2019,01,Aguascalientes,003,Calvillo,25776,15945397
2020,01,Aguascalientes,003,Calvillo,25231,17035297
2021,01,Aguascalientes,003,Calvillo,26237,20141082
2022,01,Aguascalientes,003,Calvillo,27174,21371624
2013,01,Aguascalientes,004,Cosío,1697,651563
2014,01,Aguascalientes,004,Cosío,1814,904483
2015,01,Aguascalientes,004,Cosío,1775,741965
2016,01,Aguascalientes,004,Cosío,2029,869380
2017,01,Aguascalientes,004,Cosío,1913,514987
2018,01,Aguascalientes,004,Cosío,1973,633339
2019,01,Aguascalientes,004,Cosío,2752,986211
2020,01,Aguascalientes,004,Cosío,13950,1065553
2021,01,Aguascalientes,004,Cosío,2560,1355862
2022,01,Aguascalientes,004,Cosío,2523,1860354
2013,01,Aguascalientes,005,Jesús María,35503,16270213
2014,01,Aguascalientes,005,Jesús María,19007,18904487
2015,01,Aguascalientes,005,Jesús María,24837,24478241
2016,01,Aguascalientes,005,Jesús María,28563,28158877
2017,01,Aguascalientes,005,Jesús María,33223,31382331
2018,01,Aguascalientes,005,Jesús María,39251,35433086
2019,01,Aguascalientes,005,Jesús María,40645,55634758
2020,01,Aguascalientes,005,Jesús María,10589,64267691
2021,01,Aguascalientes,005,Jesús María,42616,71839701
2022,01,Aguascalientes,005,Jesús María,43712,76235464
2013,01,Aguascalientes,006,Pabellón de Arteaga,8143,2892596
2014,01,Aguascalientes,006,Pabellón de Arteaga,8936,4154347
2015,01,Aguascalientes,006,Pabellón de Arteaga,8892,4336217
2016,01,Aguascalientes,006,Pabellón de Arteaga,8819,4475352
2017,01,Aguascalientes,006,Pabellón de Arteaga,7794,4975522
2018,01,Aguascalientes,006,Pabellón de Arteaga,8457,5378223
2019,01,Aguascalientes,006,Pabellón de Arteaga,8932,5911323
2020,01,Aguascalientes,006,Pabellón de Arteaga,6053,6233114
2021,01,Aguascalientes,006,Pabellón de Arteaga,11038,6860624
2022,01,Aguascalientes,006,Pabellón de Arteaga,10492,10229112
2013,01,Aguascalientes,007,Rincón de Romos,14801,3669585
2014,01,Aguascalientes,007,Rincón de Romos,13221,3989079
2015,01,Aguascalientes,007,Rincón de Romos,13845,4621190
2016,01,Aguascalientes,007,Rincón de Romos,12589,5503076
2017,01,Aguascalientes,007,Rincón de Romos,14086,7096053
2018,01,Aguascalientes,007,Rincón de Romos,10480,8092205
2019,01,Aguascalientes,007,Rincón de Romos,10538,8933451
2020,01,Aguascalientes,007,Rincón de Romos,10043,9450878
2021,01,Aguascalientes,007,Rincón de Romos,11852,10823920
2022,01,Aguascalientes,007,Rincón de Romos,11087,10664633
2013,01,Aguascalientes,008,San José de Gracia,2324,945894
2014,01,Aguascalientes,008,San José de Gracia,2884,1077252
2015,01,Aguascalientes,008,San José de Gracia,2839,1049425
2016,01,Aguascalientes,008,San José de Gracia,3215,1282034
2017,01,Aguascalientes,008,San José de Gracia,3395,1545225
2018,01,Aguascalientes,008,San José de Gracia,2215,1111233
2019,01,Aguascalientes,008,San José de Gracia,2345,1177946
2020,01,Aguascalientes,008,San José de Gracia,3336,1333084
2021,01,Aguascalientes,008,San José de Gracia,2582,1645439
2022,01,Aguascalientes,008,San José de Gracia,2854,1952005
2013,01,Aguascalientes,009,Tepezalá,3399,1409659
2014,01,Aguascalientes,009,Tepezalá,3440,1495966
2015,01,Aguascalientes,009,Tepezalá,3541,1872927
2016,01,Aguascalientes,009,Tepezalá,3463,1972475
2017,01,Aguascalientes,009,Tepezalá,3540,2128198
2018,01,Aguascalientes,009,Tepezalá,3705,2180158
2019,01,Aguascalientes,009,Tepezalá,3462,2398912
2020,01,Aguascalientes,009,Tepezalá,2951,2370289
2021,01,Aguascalientes,009,Tepezalá,3494,3076593
2022,01,Aguascalientes,009,Tepezalá,3855,3394190
2013,01,Aguascalientes,010,El Llano,2307,690165
2014,01,Aguascalientes,010,El Llano,2985,722501
2015,01,Aguascalientes,010,El Llano,2967,738188
2016,01,Aguascalientes,010,El Llano,2593,811277
2017,01,Aguascalientes,010,El Llano,2894,1059254
2018,01,Aguascalientes,010,El Llano,2854,2022086
2019,01,Aguascalientes,010,El Llano,2969,2162785
2020,01,Aguascalientes,010,El Llano,2403,2179787
2021,01,Aguascalientes,010,El Llano,3284,3404649
2022,01,Aguascalientes,010,El Llano,3649,3674869
2013,01,Aguascalientes,011,San Francisco de los Romo,13046,6947337
2014,01,Aguascalientes,011,San Francisco de los Romo,12113,7603215
2015,01,Aguascalientes,011,San Francisco de los Romo,13954,9520561
2016,01,Aguascalientes,011,San Francisco de los Romo,14213,11166395
2017,01,Aguascalientes,011,San Francisco de los Romo,14343,12822190
2018,01,Aguascalientes,011,San Francisco de los Romo,13276,13115521
2019,01,Aguascalientes,011,San Francisco de los Romo,13489,13637877
2020,01,Aguascalientes,011,San Francisco de los Romo,2094,13923960
2021,01,Aguascalientes,011,San Francisco de los Romo,13986,16067997
2022,01,Aguascalientes,011,San Francisco de los Romo,14398,20320271
2013,02,Baja California,001,Ensenada,123682,104088425
2014,02,Baja California,001,Ensenada,120609,133650411
2015,02,Baja California,001,Ensenada,123706,163007055
2016,02,Baja California,001,Ensenada,108455,165918476
2017,02,Baja California,001,Ensenada,107200,188551712
2018,02,Baja California,001,Ensenada,105616,185648424
2019,02,Baja California,001,Ensenada,113693,214842020
